District,Province,Year,Broadband Internet Score,Mobile Internet Score,Key Structure Internet Access Score,Accessibility to Hospitals Score,Accessibility to Schools Score,Railway Heatwave Score,Road Heatwave Score,Road Flood Score,Railway Flood Score,Emissions Normalized Score,Air Quality Score,Deforestation Score,Emissions Score,Luminosity per Capita Score,Luminosity per Area Score,Built Area Development Score,Tourism Score,Agricultural Land Score,Infrastructure Score,Livability Score,Prosperity Score,canonical_Province,canonical_District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,osr_source_Province,osr_source_District,osr_match_status,osr_match_notes
Mufulira,Copperbelt,2021,44.0,78.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,27.0,5.0,61.0,45.0,12.0,89.0,4.0,45.0,23.0,47.2,45.0,34.6,Copperbelt,Mufulira,28851372.0,7788650.0,1186338.0,0.0,1902645.0,556686.0,40285691.0,Copperbelt,Mufulira Municipal Council,matched,council suffix removed: Mufulira Municipal Council -> Mufulira
Mufumbwe,North-Western,2021,44.0,24.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,86.0,53.0,48.0,94.0,97.0,25.0,52.0,45.0,48.0,36.4,62.88,53.4,North-Western,Mufumbwe,1078463.0,67945.0,0.0,0.0,0.0,-2596.0,1143812.0,North Western,Mufumbwe,matched,province normalized: North Western -> North-Western
Mulobezi,Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,76.0,39.0,53.0,79.0,99.0,5.0,14.000000000000002,45.0,32.0,43.4,58.62,39.0,Western,Mulobezi,6985.0,358055.0,9420.0,283017.0,34110.0,0.0,691587.0,Western,Mulobezi,matched,
Mumbwa,Central,2021,44.0,29.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,96.0,43.0,67.0,99.0,65.0,57.99999999999999,15.0,45.0,92.0,37.4,65.88,55.0,Central,Mumbwa,1805169.0,4086126.0,25825.0,1326151.0,288501.0,-41.0,7531731.0,Central,Mumbwa,matched,
Mungwi,Northern,2021,44.0,95.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,83.0,84.0,56.00000000000001,87.0,49.0,23.0,57.99999999999999,45.0,49.0,50.6,66.5,44.8,Northern,Mungwi,85213.0,914548.0,114648.0,52877.0,37671.0,412.0,1205369.0,Northern ,Mungwi,matched,
Mushindano,North-Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,42.0,16.0,53.0,28.000000000000004,93.0,19.0,95.0,45.0,8.0,43.4,45.12,52.0,North-Western,Mushindano,568.0,3060005.0,61839.0,50600.0,22846.0,0.0,3195858.0,North Western,Mushindamo,matched,province normalized: North Western -> North-Western; district spelling normalized: Mushindamo -> Mushindano
Mwandi,Western,2021,44.0,22.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,55.00000000000001,35.0,66.0,52.0,92.0,8.0,10.0,45.0,41.0,46.4,53.75,39.2,Western,Mwandi,15073.0,261835.0,10450.0,248846.0,1420.0,0.0,537624.0,Western,Mwandi,matched,
Mwansabombwe,Luapula,2021,44.0,76.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,22.0,54.0,87.0,42.0,23.0,56.00000000000001,32.0,45.0,6.0,57.2,53.38,32.4,Luapula,Mwansabombwe,13263.0,514594.0,0.0,87591.0,61682.0,0.0,677130.0,Luapula,Mwansabombwe,matched,
Mwense,Luapula,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,35.0,53.0,31.0,42.0,28.000000000000004,69.0,28.000000000000004,45.0,12.0,33.0,47.88,36.4,Luapula,Mwense,1336772.0,986200.0,9408.0,188558.0,71857.0,-35918.0,2556877.0,Luapula,Mwense,matched,
Mwinilunga,North-Western,2021,44.0,31.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,42.0,22.0,43.0,17.0,86.0,7.000000000000001,78.0,45.0,19.0,37.8,43.25,47.0,North-Western,Mwinilunga,622310.0,845501.0,92355.0,860536.0,122613.0,27286.0,2570601.0,North Western,Mwinilunga,matched,province normalized: North Western -> North-Western
Nakonde,Muchiga,2021,44.0,50.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,51.0,96.0,39.0,46.0,34.0,55.00000000000001,1.0,45.0,52.0,41.6,56.75,37.4,Muchinga,Nakonde,37831.0,15317680.0,36348.0,994552.0,281251.0,872074.0,17539736.0,Muchinga,Nakonde,matched,score province normalized: Muchiga -> Muchinga
Nalolo,Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,97.0,33.0,63.0,94.0,57.99999999999999,2.0,12.0,45.0,56.00000000000001,43.4,63.62,34.6,Western,Nalolo,150870.0,133699.0,1250.0,29142.0,100.0,0.0,315061.0,Western,Nalolo,matched,
Namwala,Southern,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,38.0,50.0,98.0,38.0,26.0,8.0,45.0,91.0,43.4,63.25,41.6,Southern,Namwala,12840.0,1399607.0,80750.0,1143104.0,170841.0,-2610.0,2804532.0,Southern,Namwala,matched,
Nchelenge,Luapula,2021,44.0,72.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,24.0,48.0,72.0,28.000000000000004,20.0,52.0,49.0,45.0,13.0,46.0,49.25,35.8,Luapula,Nchelenge,32730.0,929662.0,11255.0,439067.0,31895.0,0.0,1444609.0,Luapula,Nchelenge,matched,
Ndola,Copperbelt,2021,92.0,34.0,67.0,41.0,41.0,53.0,59.0,59.0,51.0,2.0,4.0,12.0,26.0,5.0,98.0,2.0,45.0,31.0,55.0,33.25,36.2,Copperbelt,Ndola,25258618.0,36141276.0,5046902.0,0.0,15103230.0,63275.0,81613301.0,Copperbelt,Ndola City Coucil,matched,council suffix removed: Ndola City Coucil -> Ndola
Ngabwe,Central,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,97.0,57.99999999999999,56.99999999999999,97.0,95.0,13.0,75.0,45.0,56.00000000000001,33.0,66.38,56.8,Central,Ngabwe,4905.0,88539.0,71822.0,319982.0,200.0,0.0,485448.0,Central,NgabweTown Council,matched,council suffix removed: NgabweTown Council -> Ngabwe
Nkeyema,Western,2021,44.0,49.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,49.0,35.0,71.0,48.0,40.0,23.0,45.0,45.0,50.0,51.8,53.12,40.6,Western,Nkeyema,16041.0,158498.0,9900.0,1061441.0,29493.0,0.0,1275373.0,Western,Nkeyema,matched,
Nsama,Northern,2021,44.0,14.000000000000002,32.0,41.0,41.0,53.0,59.0,59.0,51.0,14.000000000000002,73.0,7.000000000000001,9.0,86.0,64.0,49.0,45.0,23.0,34.4,40.62,53.4,Northern,Nsama,7175.0,388725.0,2194.0,427103.0,2250.0,0.0,827447.0,Northern ,Nsama,matched,
Nyimba,Eastern,2021,44.0,63.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,82.0,19.0,99.0,68.0,33.0,59.0,45.0,75.0,44.2,65.0,56.0,Eastern,Nyimba,1092752.0,2036789.0,2036789.0,25470.0,961779.0,4935777.0,11089356.0,Eastern,NyimbaTown Council,matched,council suffix removed: NyimbaTown Council -> Nyimba
Pemba,Southern,2021,44.0,44.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,81.0,45.0,74.0,78.0,18.0,9.0,25.0,45.0,61.0,40.4,62.5,31.6,Southern,Pemba,4048.0,315028.0,27925.0,226430.0,2100.0,5471.0,581002.0,Southern,Pemba,matched,
Petauke,Eastern,2021,44.0,60.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,91.0,94.0,61.0,86.0,7.000000000000001,13.0,37.0,45.0,93.0,43.6,69.25,39.0,Eastern,Petauke,881303.0,2939380.0,8412.0,677271.0,772869.0,-366102.0,4913133.0,Eastern,Petauke,matched,
Rufunsa,Lusaka,2021,44.0,30.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,99.0,89.0,66.0,99.0,85.0,36.0,56.99999999999999,45.0,31.0,48.0,71.88,50.8,Lusaka,Rufunsa,23766.0,905220.0,59339.0,268985.0,91858.0,0.0,1349168.0,Lusaka,Rufunsa,matched,
Samfya,Luapula,2021,44.0,16.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,99.0,75.0,55.00000000000001,97.0,21.0,9.0,26.0,45.0,40.0,45.2,68.5,28.2,Luapula,Samfya,207499.0,1067739.0,38069.0,591960.0,365576.0,-17182.0,2253661.0,Luapula,Samfya,matched,
Senanga,Western,2021,44.0,34.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,75.0,36.0,69.0,76.0,71.0,3.0,6.0,45.0,42.0,48.8,59.75,33.4,Western,Senanga,436049.0,791310.0,262271.0,92914.0,151245.0,249877.0,1983666.0,Western,Senanga,matched,
Senga Hill,Northern,2021,44.0,46.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,39.0,79.0,66.0,34.0,46.0,22.0,62.0,45.0,33.0,51.2,55.0,41.6,Northern,Senga Hill,18450.0,507893.0,33729.0,90.0,2811.0,0.0,562973.0,Northern ,Senga Hill,matched,
Serenje,Central,2021,44.0,51.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,95.0,85.0,48.0,97.0,64.0,17.0,38.0,45.0,63.0,41.8,68.38,45.4,Central,Serenje,461269.0,5056602.0,146412.0,579575.0,680815.0,52301.0,6976974.0,Central,Serenje,matched,
Sesheke,Western,2021,44.0,56.99999999999999,32.0,41.0,41.0,53.0,59.0,59.0,51.0,47.0,28.000000000000004,76.0,30.0,93.0,23.0,7.000000000000001,45.0,47.0,43.0,50.38,43.0,Western,Sesheke,101702.0,3039860.0,70430.0,796357.0,137710.0,33050.0,4179109.0,Western,Sesheke,matched,
Shangombo,Western,2021,44.0,39.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,84.0,28.000000000000004,29.0,86.0,81.0,9.0,55.00000000000001,45.0,55.00000000000001,39.4,56.12,49.0,Western,Shangombo,11270.0,501521.0,4216.0,342295.0,4300.0,0.0,863602.0,Western,Shangombo,matched,
Shibuyunji,Central,2021,44.0,13.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,99.0,7.000000000000001,86.0,96.0,18.0,43.0,27.0,45.0,70.0,34.2,63.75,40.6,Central,Shibuyunji,4188500.0,1521773.0,26494.0,268850.0,98826.0,0.0,6104443.0,Central,Shibuyunji,matched,
Shiwang'Andu,Muchiga,2021,44.0,24.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,68.0,91.0,21.0,62.0,86.0,41.0,42.0,45.0,20.0,36.4,58.0,46.8,Muchinga,Shiwang'Andu,25682.0,1009549.0,6385.0,58072.0,25570.0,0.0,1125258.0,Muchinga,Shiwang'andu,matched,score province normalized: Muchiga -> Muchinga; score district normalized: Shiwang'Andu -> Shiwang'andu
Siavonga,Southern,2021,91.0,44.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,15.0,64.0,83.0,27.0,49.0,72.0,2.0,45.0,44.0,60.2,51.38,42.4,Southern,Siavonga,6479147.0,773658.0,71825.0,2458577.0,237180.0,184255.0,10204642.0,Southern,Siavonga,matched,
Sikongo,Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,93.0,32.0,37.0,94.0,79.0,3.0,33.0,45.0,54.0,43.4,59.75,42.8,Western,Sikongo,6373.0,341268.0,2582.0,82757.0,300.0,0.0,433280.0,Western,Sikongo,matched,
Sinazongwe,Southern,2021,44.0,33.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,93.0,29.0,56.99999999999999,89.0,37.0,45.0,7.000000000000001,45.0,62.0,38.2,61.25,39.2,Southern,Sinazongwe,5191794.0,1538794.0,4006334.0,291000.0,598000.0,0.0,11625922.0,Southern,Sinazongwe,matched,
Sinda,Eastern,2021,44.0,98.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,43.0,90.0,82.0,46.0,4.0,11.0,61.0,45.0,89.0,51.2,60.38,42.0,Eastern,Sinda,35466.0,1120069.0,15168.0,300285.0,50052.0,116236.0,1637276.0,Eastern,Sinda,matched,
Sioma,Western,2021,44.0,56.99999999999999,32.0,41.0,41.0,53.0,59.0,59.0,51.0,51.0,26.0,40.0,39.0,75.0,7.000000000000001,35.0,45.0,69.0,43.0,47.25,46.2,Western,Sioma,10343.0,117940.0,1200.0,77241.0,10800.0,0.0,217524.0,Western,Sioma,matched,
Solwezi,North-Western,2021,44.0,37.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,4.0,13.0,66.0,10.0,27.0,89.0,81.0,45.0,9.0,39.0,39.38,50.2,North-Western,Solwezi,68903133.0,29321398.0,369339.0,2124937.0,1927478.0,-5319.0,102640966.0,North Western,Solwezi Municipal Council,matched,province normalized: North Western -> North-Western; council suffix removed: Solwezi Municipal Council -> Solwezi
Vubwi,Eastern,2021,44.0,32.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,47.0,71.0,36.0,65.0,16.0,22.0,86.0,45.0,50.0,38.0,55.12,43.8,Eastern,Vubwi,12045.0,548498.0,8660.0,83435.0,2440.0,0.0,655078.0,Eastern,Vubwi,matched,
Zambezi,North-Western,2021,44.0,52.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,83.0,37.0,52.0,87.0,81.0,2.0,13.0,45.0,44.0,42.0,60.12,37.0,North-Western,Zambezi,2090.0,541199.0,1472.0,795496.0,290300.0,10149.0,1640706.0,North Western,Zambezi,matched,province normalized: North Western -> North-Western
Zimba,Southern,2021,44.0,80.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,82.0,42.0,26.0,83.0,54.0,20.0,17.0,45.0,79.0,47.6,56.88,43.0,Southern,Zimba,74247.0,1311684.0,26736.0,414549.0,81898.0,137659.0,2046773.0,Southern,Zimba,matched,
Chadiza,Eastern,2022,44.0,85.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,77.0,92.0,68.0,76.0,13.0,56.99999999999999,50.0,45.0,80.0,48.6,66.88,49.0,Eastern,Chadiza,145188.0,621475.0,18810.0,2280243.0,148670.0,0.0,3214386.0,Eastern,Chadiza,matched,
Chama,Muchiga,2022,44.0,22.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,26.0,100.0,8.0,6.0,83.0,19.0,47.0,45.0,39.0,46.4,45.25,46.6,Muchinga,Chama,26788.0,330674.0,6240.0,213866.0,49855.0,0.0,627423.0,Eastern,Chama,matched,OSR province differs from score/admin geography: Eastern -> Muchinga; score province normalized: Muchiga -> Muchinga
Chasefu,Eastern,2022,44.0,96.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,82.0,99.0,2.0,81.0,23.0,22.0,63.0,45.0,71.0,50.8,60.75,44.8,Eastern,Chasefu,4707.0,331491.0,2590.0,180841.0,3375.0,0.0,523004.0,Eastern,Chasefu,matched,
Chavuma,North-Western,2022,44.0,19.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,84.0,35.0,12.0,83.0,59.0,0.0,38.0,45.0,41.0,35.4,54.5,36.6,North-Western,Chavuma,731610.0,689454.0,4703.0,438161.0,21592.0,0.0,1885520.0,North Western,Chavuma,matched,province normalized: North Western -> North-Western
Chembe,Luapula,2022,44.0,21.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,31.0,71.0,47.0,41.0,44.0,8.0,90.0,45.0,23.0,35.8,51.5,42.0,Luapula,Chembe,21008.0,2671553.0,19564.0,443386.0,87333.0,0.0,3242844.0,Luapula,Chembe,matched,
Chibombo,Central,2022,90.0,30.0,64.0,41.0,41.0,53.0,59.0,59.0,51.0,30.0,45.0,69.0,19.0,29.0,78.0,86.0,45.0,98.0,53.2,48.12,67.2,Central,Chibombo,1287819.0,5310536.0,562436.0,1681556.0,1122306.0,8720.0,9973373.0,Central,Chibombo,matched,
Chiengi,Luapula,2022,44.0,17.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,92.0,68.0,33.0,87.0,14.000000000000002,3.0,42.0,45.0,11.0,35.0,62.75,23.0,Luapula,Chiengi,7878.0,282260.0,0.0,351182.0,1207.0,-78428.0,564099.0,Luapula,Chiengi,matched,
Chifunabuli,Luapula,2022,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,24.0,84.0,64.0,31.0,20.0,0.0,90.0,45.0,26.0,33.0,53.12,36.2,Luapula,Chifunabuli,11025.0,855744.0,70354.0,72551.0,55745.0,0.0,1065419.0,Luapula,Chifunabuli,matched,
Chikankanta,Southern,2022,44.0,76.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,28.000000000000004,52.0,39.0,35.0,39.0,71.0,60.0,45.0,77.0,57.2,47.0,58.4,Southern,Chikankanta,4601019.0,972245.0,213090.0,607715.0,34432.0,0.0,6428501.0,Southern,Chikankata,matched,district spelling normalized: Chikankata -> Chikankanta
Chilanga,Lusaka,2022,44.0,73.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,55.00000000000001,2.0,2.0,68.0,30.0,97.0,34.0,45.0,77.0,46.2,43.62,56.6,Lusaka,Chilanga,5460090.0,1455344.0,2316457.0,2647468.0,1057967.0,0.0,12937326.0,Lusaka,Chilanga,matched,
Chililabombwe,Copperbelt,2022,90.0,82.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,39.0,7.000000000000001,30.0,56.00000000000001,16.0,92.0,25.0,45.0,9.0,57.2,44.25,37.4,Copperbelt,Chililabombwe,27980208.0,29186099.0,932560.0,12348859.0,3841029.0,0.0,74288755.0,Copperbelt,Chililabombwe Municipal Council,matched,council suffix removed: Chililabombwe Municipal Council -> Chililabombwe
Chilubi,Northern,2022,44.0,93.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,2.0,88.0,34.0,4.0,46.0,6.0,92.0,45.0,44.0,50.2,43.75,46.6,Northern,Chilubi,16283.0,391420.0,4135.0,103330.0,5967.0,2270.0,523405.0,Northern ,Chilubi,matched,
Chingola,Copperbelt,2022,44.0,86.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,85.0,4.0,37.0,81.0,10.0,91.0,16.0,45.0,24.0,59.2,53.62,37.2,Copperbelt,Chingola,50224626.0,27725826.0,689003.0,2196772.0,3944561.0,0.0,84780788.0,Copperbelt,Chingola Municipal Council,matched,council suffix removed: Chingola Municipal Council -> Chingola
Chinsali,Muchiga,2022,44.0,72.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,22.0,99.0,11.0,17.0,44.0,13.0,31.0,45.0,36.0,56.4,46.38,33.8,Muchinga,Chinsali,575048.0,3835709.0,76175.0,566176.0,442898.0,76124.0,5572130.0,Muchinga,Chinsali Municipal Council,matched,council suffix removed: Chinsali Municipal Council -> Chinsali; score province normalized: Muchiga -> Muchinga
Chipangali,Eastern,2022,44.0,41.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,52.0,95.0,11.0,56.99999999999999,14.000000000000002,32.0,83.0,45.0,76.0,39.8,54.62,50.0,Eastern,Chipangali,14730.0,470925.0,11520.0,462051.0,9070.0,162284.0,1130580.0,Eastern,Chipangali,matched,
Chipata,Eastern,2022,44.0,53.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,56.99999999999999,84.0,54.0,67.0,2.0,88.0,21.0,45.0,79.0,42.2,60.5,47.0,Eastern,Chipata,7119277.0,8530531.0,3014744.0,0.0,5841596.0,23922.0,24530070.0,Eastern,Chipata City Council,matched,council suffix removed: Chipata City Council -> Chipata
Chipili,Luapula,2022,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,82.0,66.0,17.0,82.0,71.0,25.0,70.0,45.0,5.0,43.4,58.62,43.2,Luapula,Chipili,5055.0,693942.0,5954.0,7000.0,1470.0,0.0,713421.0,Luapula,Chipili,matched,
Chirundu,Lusaka,2022,44.0,33.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,83.0,70.0,54.0,78.0,31.0,84.0,59.0,45.0,56.99999999999999,48.6,63.38,55.2,Lusaka,Chirundu,695694.0,8638097.0,183360.0,140638.0,1164859.0,0.0,10822648.0,Southern,Chirundu,matched,OSR province differs from score/admin geography: Southern -> Lusaka
Chisamba,Central,2022,44.0,30.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,26.0,81.0,82.0,23.0,44.0,70.0,42.0,45.0,89.0,37.6,54.25,58.0,Central,Chisamba,284231.0,1787901.0,152739.0,416121.0,191087.0,-4299.0,2827780.0,Central,Chisamba,matched,
Chitambo,Central,2022,44.0,30.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,32.0,97.0,17.0,15.0,81.0,18.0,71.0,45.0,51.0,37.6,47.88,53.2,Central,Chitambo,3540.0,1080232.0,66093.0,128760.0,14219.0,0.0,1292844.0,Central,Chitambo,matched,
Choma,Southern,2022,44.0,64.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,78.0,45.0,3.0,79.0,22.0,56.99999999999999,10.0,45.0,84.0,44.4,53.38,43.6,Southern,Choma,4160452.0,5587660.0,295742.0,2233686.0,1272621.0,403541.0,13953702.0,Southern,Choma Municipal Council,matched,council suffix removed: Choma Municipal Council -> Choma
Chongwe,Lusaka,2022,89.0,57.99999999999999,66.0,41.0,41.0,53.0,59.0,59.0,51.0,44.0,23.0,26.0,48.0,32.0,96.0,59.0,45.0,76.0,59.0,45.38,61.6,Lusaka,Chongwe,7954140.0,10840823.0,713648.0,7538203.0,2584661.0,241526.0,29873001.0,Lusaka,Chongwe Municipal Council,matched,council suffix removed: Chongwe Municipal Council -> Chongwe
Gwembe,Southern,2022,44.0,19.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,29.0,65.0,24.0,31.0,55.00000000000001,45.0,26.0,45.0,53.0,35.4,46.38,44.8,Southern,Gwembe,74319.0,1065977.0,5600.0,559949.0,17900.0,45445.0,1769190.0,Southern,Gwembe,matched,
Ikelenge,North-Western,2022,44.0,27.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,99.0,17.0,34.0,95.0,45.0,1.0,29.0,45.0,17.0,37.0,58.38,27.4,North-Western,Ikelenge,9702.0,389427.0,36108.0,110086.0,3215.0,0.0,548538.0,North Western,Ikelenge,matched,province normalized: North Western -> North-Western
Isoka,Muchiga,2022,44.0,54.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,40.0,99.0,5.0,35.0,42.0,3.0,55.00000000000001,45.0,33.0,52.8,50.12,35.6,Muchinga,Isoka,230032.0,2937610.0,15237.0,467220.0,443580.0,270025.0,4363704.0,Muchinga,Isoka,matched,score province normalized: Muchiga -> Muchinga
Itezhi-Tezhi,Central,2022,44.0,36.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,48.0,60.0,33.0,27.0,92.0,54.0,9.0,45.0,80.0,38.8,48.75,56.0,Central,Itezhi-Tezhi,2117616.0,1026711.0,627359.0,317064.0,445793.0,0.0,4534543.0,Central,Itezhi-tezhi,matched,score district normalized: Itezhi-Tezhi -> Itezhi-tezhi
Kabompo,North-Western,2022,44.0,90.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,37.0,56.00000000000001,42.0,29.0,76.0,14.000000000000002,43.0,45.0,19.0,60.0,48.25,39.4,North-Western,Kabompo,16158.0,1004289.0,5587.0,1218153.0,73062.0,0.0,2317249.0,North Western,Kabompo,matched,province normalized: North Western -> North-Western
Kabwe,Central,2022,92.0,57.99999999999999,84.0,41.0,41.0,53.0,59.0,59.0,51.0,16.0,48.0,63.0,35.0,8.0,92.0,4.0,45.0,69.0,63.2,48.0,43.6,Central,Kabwe,7433033.0,12529054.0,733955.0,1714710.0,5603827.0,2871469.0,30886048.0,Central,Kabwe Municipal Council,matched,council suffix removed: Kabwe Municipal Council -> Kabwe
Kafue,Lusaka,2022,44.0,33.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,14.000000000000002,36.0,57.99999999999999,15.0,46.0,89.0,55.00000000000001,45.0,64.0,38.2,43.12,59.8,Lusaka,Kafue,3862322.0,7025722.0,3265733.0,834810.0,2159327.0,0.0,17147914.0,Lusaka,Kafue,matched,
Kalabo,Western,2022,44.0,48.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,41.0,40.0,11.0,28.000000000000004,66.0,4.0,31.0,45.0,86.0,41.2,42.75,46.4,Western,Kalabo,3914.0,245879.0,14841.0,170181.0,65666.0,545331.0,1045812.0,Western,Kalabo,matched,
Kalomo,Southern,2022,44.0,66.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,84.0,66.0,0.0,86.0,33.0,27.0,12.0,45.0,98.0,44.8,57.25,43.0,Southern,Kalomo,277397.0,4473862.0,15639.0,512380.0,182674.0,34187.0,5496139.0,Southern,Kalomo,matched,
Kalulushi,Copperbelt,2022,44.0,43.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,51.0,2.0,23.0,67.0,15.0,94.0,23.0,45.0,7.000000000000001,40.2,45.62,36.8,Copperbelt,Kalulushi,86561058.0,4794913.0,1248977.0,1057879.0,320000.0,0.0,93982827.0,Copperbelt,Kalulushi Municipal Council,matched,council suffix removed: Kalulushi Municipal Council -> Kalulushi
Kalumbila,North-Western,2022,44.0,53.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,96.0,36.0,45.0,98.0,75.0,46.0,82.0,45.0,16.0,42.2,62.12,52.8,North-Western,Kalumbila,63030844.0,2321053.0,11960.0,948319.0,880521.0,0.0,67192697.0,North Western,Kalumbila,matched,province normalized: North Western -> North-Western
Kanchibiya,Muchiga,2022,44.0,26.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,54.0,97.0,29.0,44.0,70.0,12.0,98.0,45.0,69.0,36.8,55.75,58.8,Muchinga,Kanchibiya,11367.0,451964.0,0.0,6055.0,41892.0,0.0,511278.0,Muchinga,Kanchibiya,matched,score province normalized: Muchiga -> Muchinga
Kaoma,Western,2022,44.0,47.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,87.0,49.0,41.0,89.0,59.0,19.0,20.0,45.0,42.0,41.0,61.0,37.0,Western,Kaoma,51948.0,1683066.0,147000.0,1206218.0,167750.0,0.0,3255982.0,Western,Kaoma,matched,
Kapiri Mposhi,Central,2022,44.0,60.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,38.0,78.0,78.0,24.0,33.0,53.0,16.0,45.0,97.0,43.6,55.0,48.8,Central,Kapiri Mposhi,3518891.0,7969858.0,223245.0,1940092.0,555058.0,45646.0,14252790.0,Central,Kapiri Mposhi,matched,
Kaputa,Northern,2022,44.0,15.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,72.0,17.0,96.0,52.0,11.0,23.0,45.0,22.0,45.0,63.12,30.6,Northern,Kaputa,23435.0,578996.0,1445.0,140707.0,23438.0,-39033.0,728988.0,Northern ,Kaputa,matched,
Kasama,Northern,2022,44.0,35.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,53.0,88.0,16.0,40.0,38.0,37.0,37.0,45.0,39.0,38.6,52.38,39.2,Northern,Kasama,2767019.0,4837678.0,202918.0,1697161.0,1454403.0,0.0,10959179.0,Northern,Kasama Municipal Council,matched,council suffix removed: Kasama Municipal Council -> Kasama
Kasempa,North-Western,2022,44.0,81.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,91.0,70.0,43.0,98.0,96.0,12.0,42.0,45.0,41.0,47.8,65.5,47.2,North-Western,Kasempa,479937.0,2376043.0,29290.0,433962.0,51210.0,525910.0,3896352.0,North Western,Kasempa,matched,province normalized: North Western -> North-Western
Kasenengwa,Eastern,2022,44.0,79.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,46.0,93.0,43.0,53.0,9.0,40.0,91.0,45.0,81.0,47.4,57.12,53.2,Eastern,Kasenengwa,5745.0,682931.0,15900.0,260104.0,16832.0,0.0,981512.0,Eastern,Kasenengwa,matched,
